"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.46","0.9","3.36","7.51","4.95","1.69","16.67","1.45","9.59"
"ECLIPSE-2007","1.72","0.99","1.88","3.33","2.79","0.64","28.87","0.53","7.45"
"ECLIPSE-2007","[0.48,3.5]","[0.03,1.56]","[1.54,4.61]","[3.88,9.69]","[1.72,6.56]","[1.17,2.1]","[0,33.33]","[0.84,1.77]","[1.69,14.52]"
"Metrics-Repo-2010","10.88","5.95","35.91","43.38","39.93","7.62","12.08","33.14","32.58"
"Metrics-Repo-2010","10.97","5.93","64.44","70.41","67.15","7.59","27.85","66.65","61.05"
"Metrics-Repo-2010","[8.49,14.37]","[4.61,7.74]","[24.19,60.71]","[30.39,68.93]","[27.57,66.53]","[6.01,9.79]","[5.73,19.78]","[21.31,60.08]","[21.83,57.81]"
"JIRA-HA-2019","7.57","4.07","10.52","18.24","13.47","23.58","41.03","6.92","23.22"
"JIRA-HA-2019","7.96","4.96","23.27","22.69","24.49","68.02","95.88","9.24","40.79"
"JIRA-HA-2019","[5.62,10.6]","[2.84,5.97]","[5.41,21.2]","[12.47,27.62]","[8.16,24.88]","[11.63,77.5]","[19.23,90]","[4.71,10.81]","[15.24,46.42]"
"JIRA-RA-2019","21.94","7.12","26.31","108.35","26.51","17.72","14.4","5.98","21.66"
"JIRA-RA-2019","70.21","14.17","86.11","438.91","69.02","30.27","32.31","8.06","34.09"
"JIRA-RA-2019","[9.58,62.43]","[3.97,13.07]","[8.75,78.18]","[18.18,354.19]","[12.65,65.49]","[11.75,35.06]","[5.95,25.6]","[3.98,9.13]","[14.85,36.3]"
"MA-SZZ-2020","6.67","2.87","6","13.45","10.53","8.33","32.05","11.08","65.4"
"MA-SZZ-2020","8.64","7.9","10.29","19.98","13.83","9.71","56.98","17.22","244.27"
"MA-SZZ-2020","[5.75,8]","[2.04,4.55]","[4.87,7.79]","[11.33,17.17]","[9.04,12.91]","[7.15,10.05]","[25.47,41.14]","[8.85,13.95]","[42.73,124.07]"
"IND-JLMIV+R-2020","8.78","2.5","4.66","14.57","11.14","15.16","45.71","7.33","32.11"
"IND-JLMIV+R-2020","8.24","5.21","5.37","14.53","12.27","22.67","86.43","7.72","95.74"
"IND-JLMIV+R-2020","[7.91,9.73]","[2.03,3.35]","[4.11,5.37]","[13.05,16.28]","[9.98,12.89]","[13.19,19.22]","[37.37,57.11]","[6.51,8.32]","[25.16,54.12]"
