name,version,name,loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
xerces,1.4.4,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,4202,12,1,0,35,75,14,16,21,7,0.965786901,0.559139785,19,0,0.20979021,0,0,341.4166667,31,6.6667,13
xerces,1.4.4,org.apache.xerces.impl.dv.xs.DateTimeDatatypeValidator,68,3,4,0,6,12,3,2,4,2,2,0,0,0.985714286,0.428571429,1,7,21.66666667,1,0.3333,1
xerces,1.4.4,org.apache.html.dom.HTMLOptGroupElementImpl,30,5,4,0,2,11,10,0,2,5,2,0,0,0.959183673,0.45,0,0,5,1,0.8,2
xerces,1.4.4,org.apache.wml.WMLPElement,6,6,1,0,2,6,15,1,1,6,2,0,0,0,0.75,0,0,0,1,1,1
xerces,1.4.4,org.w3c.dom.html.HTMLTitleElement,2,2,1,0,0,2,1,0,0,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.4.4,org.w3c.dom.html.HTMLLegendElement,5,5,1,0,0,5,10,0,0,5,2,0,0,0,0.7,0,0,0,1,1,0
xerces,1.4.4,org.apache.xerces.impl.xs.identity.XPathMatcher,870,15,1,2,26,41,37,7,19,12,0.825396825,1,4,0,0.181818182,0,0,55.8,11,2.4,10
xerces,1.4.4,org.w3c.dom.events.EventListener,1,1,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0
xerces,1.4.4,org.apache.html.dom.HTMLModElementImpl,28,5,4,0,2,8,10,0,2,5,2,0,0,0.959183673,0.6,0,0,4.6,1,0.8,2
xerces,1.4.4,org.apache.xerces.util.SymbolHash,243,9,1,0,4,15,0,2,2,8,0.1875,1,1,0,0.422222222,0,0,25.77777778,6,2.1111,1
xerces,1.4.4,org.apache.xerces.dom.CoreDOMImplementationImpl,127,6,1,0,2,19,13,1,2,5,0.8,0,1,0,0.533333333,0,0,20,11,3,17
xerces,1.4.4,org.apache.wml.WMLBigElement,2,2,1,0,2,2,1,1,1,2,2,0,0,0,0.75,0,0,0,1,1,1
xerces,1.4.4,org.apache.wml.dom.WMLTrElementImpl,28,5,4,0,3,8,10,0,3,5,2,0,0,0.953488372,0.6,1,4,4.6,1,0.8,2
xerces,1.4.4,org.apache.html.dom.HTMLHtmlElementImpl,19,3,4,0,2,7,3,1,2,3,2,0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,2
xerces,1.4.4,org.xml.sax.ext.LexicalHandler,7,7,1,0,0,7,21,0,0,7,2,0,0,0,0.428571429,0,0,0,1,1,0
xerces,1.4.4,org.w3c.dom.traversal.NodeIterator,7,7,1,0,0,7,21,0,0,7,2,0,0,0,1,0,0,0,1,1,0
xerces,1.4.4,org.apache.xerces.dom.EntityImpl,133,14,4,1,4,19,79,3,2,14,0.945054945,0.857142857,0,0.858695652,0.392857143,2,6,8,2,1.7143,7
xerces,1.4.4,org.w3c.dom.events.EventException,10,1,4,0,0,2,0,0,0,1,2,0,0,1,1,0,0,7,0,0,0
xerces,1.4.4,org.apache.xerces.dom.DeferredEntityReferenceImpl,59,5,3,0,5,13,0,1,5,1,0.75,0.5,0,0.921568627,0.466666667,2,6,10.4,1,0.8,2
xerces,1.4.4,org.w3c.dom.html.HTMLParagraphElement,2,2,1,0,0,2,1,0,0,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.4.4,org.apache.wml.WMLMetaElement,10,10,1,0,2,10,45,1,1,10,2,0,0,0,0.5,0,0,0,1,1,1
xerces,1.4.4,org.apache.xerces.dom.AttrImpl,1100,38,2,2,13,98,421,10,4,24,0.817567568,0.75,1,0.556962025,0.174174174,1,17,27.84210526,11,2.6053,16
xerces,1.4.4,org.apache.wml.WMLStrongElement,2,2,1,0,2,2,1,1,1,2,2,0,0,0,0.75,0,0,0,1,1,1
xerces,1.4.4,org.apache.wml.dom.WMLNoopElementImpl,28,5,4,0,3,8,10,0,3,5,2,0,0,0.953488372,0.6,1,4,4.6,1,0.8,2
xerces,1.4.4,org.xml.sax.XMLFilter,2,2,1,0,0,2,1,0,0,2,2,0,0,0,0.75,0,0,0,1,1,0
xerces,1.4.4,org.w3c.dom.events.Event,13,10,1,0,0,10,45,0,0,10,1.111111111,0,0,0,0.4,0,0,0,1,1,0
xerces,1.4.4,javax.xml.parsers.FactoryFinder,304,6,1,0,0,36,15,0,0,0,0.933333333,0.333333333,0,0,0.333333333,0,0,49.16666667,1,0.8333,1
xerces,1.4.4,org.xml.sax.ext.DeclHandler,4,4,1,0,0,4,6,0,0,4,2,0,0,0,1,0,0,0,1,1,0
xerces,1.4.4,org.apache.xerces.impl.xpath.regex.BMPattern,574,8,1,0,1,14,0,1,0,5,0.142857143,0,0,0,0.520833333,0,0,70.375,8,5.625,1
xerces,1.4.4,org.apache.wml.dom.WMLOptionElementImpl,72,13,4,0,3,16,78,0,3,13,2,0,0,0.872340426,0.538461538,1,7,4.538461538,1,0.9231,2
xerces,1.4.4,org.w3c.dom.DocumentType,6,6,1,0,0,6,15,0,0,6,2,0,0,0,1,0,0,0,1,1,0
xerces,1.4.4,org.apache.html.dom.HTMLTableElementImpl,471,36,4,0,6,58,630,1,6,35,1,1,2,0.728682171,0.214285714,0,0,12.02777778,7,2,4
xerces,1.4.4,org.apache.xerces.parsers.AbstractDOMParser,1567,24,3,1,17,122,0,1,16,21,0.856071964,0.931034483,7,0.651515152,0.25,3,10,63.08333333,4,1.0833,37
xerces,1.4.4,org.apache.wml.WMLSmallElement,2,2,1,0,2,2,1,1,1,2,2,0,0,0,0.75,0,0,0,1,1,1
