"name_id","AvgWMC","CCMax","CDE","CIE","NTM","SDMC","WMC","AvgSLOC","NA.","NAIMP","NCM","NIM","NLM","NM","NMIMP","NMNpub","Nmpub","NumPara","loc","stms","AID","CLD","DIT","DP","DPA","DPD","NMA","NMI","NMO","NOA","NOC","NOD","NOP","PII","SIX","SP","SPA","SPD","CBO","DAC","DACquote","ICP","IHICP","NIHICP","bug"
"alluxio\src\main\java\org\apache\zeppelin\alluxio\AlluxioInterpreter.java",1.91666666666667,5,5.00469680832383,5.50105952008771,7,1.32024829314624,23,13,14,9,0,12,12,30,12,4,8,14,188,121,1,0,1,6,6,0,6,18,6,1,0,0,1,0.281746031746032,0.2,1,1,0,5,7,4,8,2,6,0
"alluxio\src\test\java\org\apache\zeppelin\alluxio\AlluxioInterpreterTest.java",1.03571428571429,2,4.38326923538912,6.31273372651546,27,0.185576872239523,29,11.2142857142857,4,4,0,28,28,28,28,3,25,5,344,229,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,3,3,115,0,115,0
"angular\src\main\java\org\apache\zeppelin\angular\AngularInterpreter.java",1,1,4.32670657763051,4.92603742902008,9,0,9,2.77777777777778,5,0,0,9,9,25,9,0,9,7,38,17,1,0,1,8,8,0,1,16,8,1,0,0,1,0.277777777777778,0.32,0,0,0,7,0,0,10,2,8,0
"bigquery\src\main\java\org\apache\zeppelin\bigquery\BigQueryInterpreter.java",2,5,5.65590964771861,6.78450258831042,8,1.31656117720877,30,11.6,18,13,5,10,15,33,15,2,13,22,202,132,1,0,1,6,6,0,9,18,6,1,0,0,1,0.344444444444444,0.181818181818182,2,2,0,7,10,6,23,8,15,0
"bigquery\src\test\java\org\apache\zeppelin\bigquery\BigQueryInterpreterTest.java",1.25,2,4.27835181171131,5.04519473180452,3,0.433012701892219,5,6.5,4,4,0,4,4,4,4,0,4,0,50,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,4,4,19,0,19,0
"cassandra\src\main\java\org\apache\zeppelin\cassandra\CassandraInterpreter.java",1.1,2,5.59054687216271,6.05416582784054,9,0.3,11,6.1,79,74,0,10,10,25,10,0,10,7,271,108,1,0,1,9,9,0,1,15,9,1,0,0,1,0.282407407407407,0.36,0,0,0,6,74,7,22,17,5,0
"cassandra\src\main\java\org\apache\zeppelin\cassandra\ParsingException.java",1,1,1.92192809488736,1.5,1,0,1,3,0,0,0,1,1,1,1,0,1,1,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0
"cassandra\src\test\java\org\apache\zeppelin\cassandra\CassandraInterpreterTest.java",1.05,3,4.5489920905899,5.59475059664448,39,0.31224989991992,42,10.1,4,4,4,36,40,40,40,2,38,3,457,263,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,7,4,4,198,0,198,0
"cassandra\src\test\java\org\apache\zeppelin\cassandra\InterpreterLogicTest.java",1,1,4.75263319506584,6.19709907897094,19,0,19,7.84210526315789,5,5,0,19,19,19,19,2,17,2,176,123,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,5,5,33,0,33,0
"elasticsearch\src\main\java\org\apache\zeppelin\elasticsearch\ElasticsearchInterpreter.java",3.66666666666667,15,5.55234548196574,6.65371241510208,4,3.71184290855335,66,16.2222222222222,19,14,0,18,18,37,18,10,8,27,344,199,1,0,1,5,5,0,13,19,5,1,0,0,1,0.290873015873016,0.135135135135135,2,2,0,6,12,6,69,12,57,1
"elasticsearch\src\test\java\org\apache\zeppelin\elasticsearch\ElasticsearchInterpreterTest.java",1.44444444444444,4,4.38383146351019,5.1200181601796,7,0.955813918560292,13,12.1111111111111,10,10,2,7,9,9,9,0,9,0,130,79,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,9,4,100,0,100,1
"file\src\main\java\org\apache\zeppelin\file\FileInterpreter.java",1.7,9,5.32127598807146,5.41183630713826,8,2.49198715887542,17,5.5,8,3,0,10,10,29,10,1,9,11,97,70,1,2,1,5,5,0,5,19,5,1,1,2,1,0.341666666666667,0.172413793103448,4,1,3,8,3,3,37,2,35,0
"file\src\main\java\org\apache\zeppelin\file\HDFSCommand.java",4.66666666666667,8,4.23221219626569,5.25807421326437,1,2.86744175568088,14,20.6666666666667,6,6,0,3,3,3,3,0,3,10,92,67,0,1,0,1,0,1,3,0,0,0,1,1,0,0,0,0,0,0,3,5,3,0,0,0,0
"file\src\main\java\org\apache\zeppelin\file\HDFSFileInterpreter.java",3.92857142857143,14,5.27724975607986,6.07473514918086,6,3.95446015304754,55,12.7142857142857,14,6,0,14,14,41,14,6,8,17,240,180,2,1,2,3,2,1,12,27,2,2,1,1,1,0.228116710875332,0.0975609756097561,4,4,0,8,6,4,29,10,19,0
"file\src\test\java\org\apache\zeppelin\file\HDFSFileInterpreterTest.java",5.5,8,11.6349273063557,14.7462334180406,7,1.86602540378444,13,59,22,2,0,9,9,45,9,0,9,9,119,76,5,0,5,2,2,0,7,36,2,5,0,0,3,1.07896825396825,0.333333333333333,0,0,0,10,2,2,92,11,81,0
"flink\src\main\java\org\apache\zeppelin\flink\FlinkInterpreter.java",2.75,14,5.69823174116055,6.90229004667593,7,2.89611809151492,55,11.6,12,7,1,19,20,37,20,9,11,14,248,179,1,0,1,7,7,0,13,17,7,1,0,0,1,0.299603174603175,0.189189189189189,1,1,0,5,7,7,26,10,16,0
"flink\src\test\java\org\apache\zeppelin\flink\FlinkInterpreterTest.java",1,1,3.653756708287,4.40325315864416,8,0,8,5.125,2,2,2,6,8,8,8,0,8,0,53,36,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,2,2,54,0,54,0
"geode\src\main\java\org\apache\zeppelin\geode\GeodeOqlInterpreter.java",2,7,5.66914622050035,6.14364239309724,11,1.58943882847805,38,7.52631578947368,20,15,0,19,19,37,19,7,12,24,177,119,1,0,1,6,6,0,13,18,6,1,0,0,1,0.349206349206349,0.162162162162162,2,2,0,7,11,5,21,8,13,0
"geode\src\test\java\org\apache\zeppelin\geode\GeodeOqlInterpreterTest.java",1,1,4.10282742609841,6.02668359610369,11,0,11,7,1,1,1,10,11,11,11,2,9,4,95,66,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,1,1,38,0,38,0
"hbase\src\main\java\org\apache\zeppelin\hbase\HbaseInterpreter.java",1.9,5,4.95686612432601,6.09714824119298,6,1.37477270848675,19,8.1,8,3,1,9,10,28,10,1,9,12,105,61,1,0,1,6,6,0,4,18,6,1,0,0,1,0.327777777777778,0.214285714285714,2,2,0,8,3,3,20,8,12,0
"hbase\src\test\java\org\apache\zeppelin\hbase\HbaseInterpreterTest.java",1,1,3.79465347354434,4.31440645035686,5,0,5,5.8,2,2,1,4,5,5,5,0,5,0,37,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,2,2,24,0,24,0
"ignite\src\main\java\org\apache\zeppelin\ignite\IgniteInterpreter.java",2.64705882352941,8,5.54840234442609,6.89786877520573,7,1.99826914723094,45,11.1176470588235,14,9,0,17,17,33,17,7,10,12,223,151,1,0,1,8,8,0,9,16,8,1,0,0,1,0.344444444444444,0.242424242424242,0,0,0,9,9,6,33,11,22,1
"ignite\src\main\java\org\apache\zeppelin\ignite\IgniteInterpreterUtils.java",3,3,2.32192809488736,3.57435776212913,0,0,3,10,0,0,1,0,1,1,1,0,1,1,12,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0
