fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap
activemq-5.1.0(5.0.0).csv,-5.0,-7.0,-12.0,0.0,0.0
activemq-5.2.0(5.1.0).csv,-14.0,-200.0,-200.0,0.0,0.0
"activemq-5.2.0(5.1.0,5.0.0).csv",-200.0,1.0,-15.0,0.0,0.2
activemq-5.3.0(5.2.0).csv,-200.0,-200.0,-11.0,0.0,0.0
"activemq-5.3.0(5.2.0,5.1.0).csv",-200.0,-200.0,-200.0,0.0,0.0
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",-200.0,-200.0,-1.0,0.0,0.0
activemq-5.8.0(5.3.0).csv,-200.0,-5.0,-10.0,0.0,0.0
"activemq-5.8.0(5.3.0,5.2.0).csv",0.0,0.0,0.0,1.0,1.0
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",0.0,-200.0,1.0,1.0,0.5
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",0.0,-200.0,-200.0,1.0,0.2
camel-2.9.0(1.4.0).csv,-200.0,0.0,2.0,0.0,0.5
camel-2.10.0(2.9.0).csv,-1.0,-200.0,-23.0,0.0,0.2
"camel-2.10.0(2.9.0,1.4.0).csv",0.0,0.0,-2.0,1.0,0.5
camel-2.11.0(2.10.0).csv,-200.0,1.0,-13.0,0.0,0.2
"camel-2.11.0(2.10.0,2.9.0).csv",-4.0,0.0,-200.0,0.0,0.2
"camel-2.11.0(2.10.0,2.9.0,1.4.0).csv",0.0,0.0,-2.0,1.0,0.5
derby-10.3.1.4(10.2.1.6).csv,0.0,-200.0,-10.0,1.0,0.2
derby-10.5.1.1(10.3.1.4).csv,-6.0,-200.0,2.0,0.0,0.2
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0.0,-200.0,-200.0,1.0,0.2
groovy-1.6.BETA1(1.5.7).csv,-1.0,-200.0,-6.0,0.0,0.2
groovy-1.6.BETA2(1.6.BETA1).csv,-2.0,-4.0,-2.0,0.0,0.2
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",0.0,-200.0,-200.0,1.0,0.2
hbase-0.95.0(0.94.0).csv,-200.0,1.0,0.0,0.0,0.5
hbase-0.95.2(0.95.0).csv,-1.0,-200.0,-200.0,0.0,0.2
"hbase-0.95.2(0.95.0,0.94.0).csv",-200.0,-200.0,-2.0,0.0,0.0
hive-0.10.0(0.9.0).csv,-200.0,0.0,-200.0,0.0,0.2
hive-0.12.0(0.10.0).csv,-4.0,-200.0,-200.0,0.0,0.0
"hive-0.12.0(0.10.0,0.9.0).csv",0.0,-3.0,-200.0,1.0,0.2
jruby-1.4.0(1.1.0).csv,-1.0,1.0,-11.0,0.0,0.5
jruby-1.5.0(1.4.0).csv,-1.0,-200.0,-2.0,0.0,0.2
"jruby-1.5.0(1.4.0,1.1.0).csv",0.0,-4.0,0.0,1.0,0.5
jruby-1.7.0.preview1(1.5.0).csv,0.0,-200.0,1.0,1.0,0.5
"jruby-1.7.0.preview1(1.5.0,1.4.0).csv",0.0,0.0,0.0,1.0,1.0
"jruby-1.7.0.preview1(1.5.0,1.4.0,1.1.0).csv",0.0,0.0,0.0,1.0,1.0
lucene-2.9.0(2.3.0).csv,0.0,-3.0,0.0,1.0,0.5
lucene-3.0.0(2.9.0).csv,0.0,0.0,-200.0,1.0,0.5
"lucene-3.0.0(2.9.0,2.3.0).csv",0.0,0.0,-1.0,1.0,0.5
lucene-3.1.0(3.0.0).csv,0.0,0.0,-200.0,1.0,0.5
"lucene-3.1.0(3.0.0,2.9.0).csv",0.0,0.0,0.0,1.0,1.0
"lucene-3.1.0(3.0.0,2.9.0,2.3.0).csv",0.0,0.0,-1.0,1.0,0.5
wicket-1.3.0.beta2(1.3.0.beta1).csv,0.0,0.0,-10.0,1.0,0.5
wicket-1.5.3.0(1.3.0.beta2).csv,0.0,-2.0,1.0,1.0,0.5
"wicket-1.5.3.0(1.3.0.beta2,1.3.0.beta1).csv",0.0,-11.0,-15.0,1.0,0.2
