fileName,Ranked1,Ranked2,Ranked3,IL/Ins
camel-1.4.0.csv,0.0,0.0,0.0,0.05072807168705842
camel-2.9.0.csv,0.0,0.0,0.0,0.05072807168705842
camel-2.10.0.csv,0.0,0.0,0.0,0.05072807168705842
camel-2.11.0.csv,0.0,0.0,0.0,0.05072807168705842
wicket-1.5.3.0.csv,0.0,0.0,,0.03903753081910328
wicket-1.3.0.beta2.csv,0.0,0.0,,0.03903753081910328
wicket-1.3.0.beta1.csv,0.0,0.0,,0.03903753081910328
jruby-1.7.0.preview1.csv,0.0,0.0,,0.038940208512787004
jruby-1.4.0.csv,0.0,0.0,,0.038940208512787004
jruby-1.5.0.csv,0.0,0.0,,0.038940208512787004
jruby-1.1.0.csv,0.0,0.0,,0.038940208512787004
lucene-2.9.0.csv,0.0,0.0,0.0,0.03881945490137027
lucene-2.3.0.csv,0.0,0.0,0.0,0.03881945490137027
lucene-3.0.0.csv,0.0,0.0,0.0,0.03881945490137027
lucene-3.1.0.csv,0.0,0.0,0.0,0.03881945490137027
groovy-1.5.7.csv,0.0,0.0,-3.0,0.037633942754816165
groovy-1.6.BETA1.csv,0.0,0.0,-3.0,0.037633942754816165
groovy-1.6.BETA2.csv,0.0,0.0,-3.0,0.037633942754816165
hive-0.9.0.csv,0.0,0.0,-2.0,0.03742848539596507
hive-0.10.0.csv,0.0,0.0,-2.0,0.03742848539596507
hive-0.12.0.csv,0.0,0.0,-2.0,0.03742848539596507
hbase-0.95.0.csv,0.0,0.0,0.0,0.03656831836297662
hbase-0.95.2.csv,0.0,0.0,0.0,0.03656831836297662
hbase-0.94.0.csv,0.0,0.0,0.0,0.03656831836297662
derby-10.5.1.1.csv,0.0,0.0,-1.0,0.03035538005923001
derby-10.3.1.4.csv,0.0,0.0,-1.0,0.03035538005923001
derby-10.2.1.6.csv,0.0,0.0,-1.0,0.03035538005923001
activemq-5.1.0.csv,0.0,0.0,0.0,0.028272024523523925
activemq-5.8.0.csv,0.0,0.0,0.0,0.028272024523523925
activemq-5.3.0.csv,0.0,0.0,0.0,0.028272024523523925
activemq-5.2.0.csv,0.0,0.0,0.0,0.028272024523523925
activemq-5.0.0.csv,0.0,0.0,0.0,0.028272024523523925
