relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
connectors/documentum/build-stub/src/main/java/com/documentum/com/DfClientX.java,1.0,1,2.75,2.58496250072116,3,0.0,3,4.0,0,0,0,3,3,4,3,0,3,0,15,6,1,0,1,0,0,0,3,1,0,1,0,0,1,0.125,0.0,0,0,0,3,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/com/IDfClientX.java,0.0,0,2.3219280948873595,2.3219280948873595,2,0.0,0,1.5,0,0,0,2,2,2,2,0,2,0,6,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/DfAuthenticationException.java,0.0,0,1.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/DfDocbaseUnreachableException.java,0.0,0,1.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/DfIOException.java,0.0,0,1.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,0,0,0,0,0,0,3,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/DfIdentityException.java,0.0,0,1.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/DfQuery.java,1.0,1,3.6644977792004596,3.58496250072116,4,0.0,4,3.5,0,0,0,4,4,5,4,0,4,4,17,6,1,0,1,0,0,0,4,1,0,1,0,0,1,0.133333333333333,0.0,0,0,0,3,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/DfServiceException.java,0.0,0,1.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,0,0,0,0,0,0,2,3,4,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/IDfClient.java,0.0,0,1.5849625007211599,1.0,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/IDfCollection.java,0.0,0,2.52164063634332,2.41938194564637,3,0.0,0,2.0,0,0,0,3,3,3,3,0,3,1,9,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/IDfFolder.java,0.0,0,3.12192809488736,2.8453509366224403,3,0.0,0,2.0,0,0,0,3,3,3,3,0,3,2,9,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/IDfPersistentObject.java,0.0,0,1.5849625007211599,1.0,1,0.0,0,2.0,0,0,0,1,1,1,1,0,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/IDfQuery.java,0.0,0,3.58496250072116,3.4594316186372995,3,0.0,0,1.33333333333333,1,1,0,3,3,3,3,0,3,4,8,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0
connectors/documentum/build-stub/src/main/java/com/documentum/fc/client/IDfSession.java,0.0,0,3.74060156295072,3.57635236357873,8,0.0,0,1.875,0,0,0,8,8,8,8,0,8,4,18,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0
